match_id,team1,team2,venue,stage
1,Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium, Chennai,League
2,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium, Mumbai,League
3,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium, Bangalore,League
4,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens, Kolkata,League
5,Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi International Stadium, Hyderabad,League
6,Delhi Capitals,Punjab Kings,Arun Jaitley Stadium, Delhi,League
7,Punjab Kings,Rajasthan Royals,Punjab Cricket Association Stadium, Mohali,League
8,Rajasthan Royals,Lucknow Super Giants,Sawai Mansingh Stadium, Jaipur,League
9,Lucknow Super Giants,Gujarat Titans,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow,League
10,Gujarat Titans,Chennai Super Kings,Narendra Modi Stadium, Ahmedabad,League
